Plant_ID	Experiment	Line	Site	Block	Cohort
8_0225	ecotypes	PAR.19.B	Sil	8_5	2008
8_0226	ecotypes	PAR.9.A1	Sil	8_5	2008
8_0227	ecotypes	SILLow.5	Sil	8_5	2008
8_0228	ecotypes	MIL.32.A1	Sil	8_5	2008
8_0229	ecotypes	SILLow.3	Sil	8_5	2008
8_0230	ecotypes	JAM.15.A	Sil	8_5	2008
8_0231	ecotypes	MAH.38.B	Sil	8_5	2008
8_0232	ecotypes	MIL.24.A	Sil	8_5	2008
8_0233	ecotypes	MAH.46.A	Sil	8_5	2008
8_0234	ecotypes	SILLow.8	Sil	8_5	2008
8_0235	ecotypes	PAR.8.B1	Sil	8_5	2008
8_0236	ecotypes	JAM.19.B	Sil	8_5	2008
8_0237	ecotypes	MIL.70.A	Sil	8_5	2008
8_0238	ecotypes	MIL.50.A	Sil	8_5	2008
8_0239	ecotypes	JAM.16.A	Sil	8_5	2008
8_0240	ecotypes	JAM.40.A	Sil	8_5	2008
8_0241	ecotypes	MIL.20.B	Sil	8_6	2008
8_0242	ecotypes	JAM.22.A	Sil	8_6	2008
8_0243	ecotypes	MIL.70.A	Sil	8_6	2008
8_0244	ecotypes	JAM.17.A	Sil	8_6	2008
8_0245	ecotypes	PAR.22.A2	Sil	8_6	2008
8_0246	ecotypes	SILLow.6	Sil	8_6	2008
8_0247	ecotypes	PAR.7.B1	Sil	8_6	2008
8_0248	ecotypes	JAM.7.B	Sil	8_6	2008
8_0249	ecotypes	PAR.9.A1	Sil	8_6	2008
8_0250	ecotypes	JAM.19.B	Sil	8_6	2008
8_0251	ecotypes	MAH.5.A	Sil	8_6	2008
8_0252	ecotypes	JAM.40.A	Sil	8_6	2008
8_0253	ecotypes	MIL.68.B	Sil	8_6	2008
8_0254	ecotypes	SILupper.2	Sil	8_6	2008
8_0255	ecotypes	PAR.17.A1	Sil	8_6	2008
8_0256	ecotypes	SILLow.2	Sil	8_6	2008
8_0257	ecotypes	JAM.15.A	Sil	8_6	2008
8_0258	ecotypes	SILLow.1	Sil	8_6	2008
8_0259	ecotypes	MAH.13.A	Sil	8_6	2008
8_0260	ecotypes	MAH.16.A	Sil	8_6	2008
8_0261	ecotypes	MIL.24.A	Sil	8_6	2008
8_0262	ecotypes	JAM.1.A	Sil	8_6	2008
8_0263	ecotypes	MIL.21.B2	Sil	8_6	2008
8_0264	ecotypes	MAH.8.A1	Sil	8_6	2008
8_0265	ecotypes	MAH.46.A	Sil	8_6	2008
8_0266	ecotypes	MAH.9.B	Sil	8_6	2008
8_0267	ecotypes	MIL.32.A1	Sil	8_6	2008
8_0268	ecotypes	MIL.54.A	Sil	8_6	2008
8_0269	ecotypes	SILLow.8	Sil	8_6	2008
8_0270	ecotypes	SILLow.7	Sil	8_6	2008
8_0271	ecotypes	MIL.50.A	Sil	8_6	2008
8_0272	ecotypes	MAH.11.A	Sil	8_6	2008
8_0273	ecotypes	PAR.29.B2	Sil	8_6	2008
8_0274	ecotypes	PAR.13.A	Sil	8_6	2008
8_0275	ecotypes	JAM.26.A	Sil	8_6	2008
8_0276	ecotypes	MIL.60.A	Sil	8_6	2008
8_0277	ecotypes	MAH.38.B	Sil	8_6	2008
8_0278	ecotypes	MIL.53.A	Sil	8_6	2008
8_0279	ecotypes	JAM.6.A	Sil	8_6	2008
8_0280	ecotypes	JAM.16.A	Sil	8_6	2008
8_0281	ecotypes	MAH.48.A	Sil	8_6	2008
8_0282	ecotypes	MAH.37.A	Sil	8_6	2008
8_0283	ecotypes	SILLow.3	Sil	8_6	2008
8_0284	ecotypes	PAR.21.B2	Sil	8_6	2008
8_0285	ecotypes	PAR.8.B1	Sil	8_6	2008
8_0286	ecotypes	PAR.19.B	Sil	8_6	2008
8_0287	ecotypes	PAR.10.A6	Sil	8_6	2008
8_0288	ecotypes	SILLow.5	Sil	8_6	2008
8_0289	ecotypes	MIL.20.B	Jam	8_7	2008
8_0290	ecotypes	SILLow.1	Jam	8_7	2008
8_0291	ecotypes	MIL.32.A1	Jam	8_7	2008
8_0292	ecotypes	MAH.16.A	Jam	8_7	2008
8_0293	ecotypes	MAH.38.B	Jam	8_7	2008
8_0294	ecotypes	SILLow.8	Jam	8_7	2008
8_0295	ecotypes	SILLow.6	Jam	8_7	2008
8_0296	ecotypes	PAR.17.A1	Jam	8_7	2008
8_0297	ecotypes	JAM.22.A	Jam	8_7	2008
8_0298	ecotypes	PAR.7.B1	Jam	8_7	2008
8_0299	ecotypes	MAH.9.B	Jam	8_7	2008
8_0300	ecotypes	MIL.54.A	Jam	8_7	2008
8_0301	ecotypes	PAR.29.B2	Jam	8_7	2008
8_0302	ecotypes	JAM.17.A	Jam	8_7	2008
8_0303	ecotypes	MIL.53.A	Jam	8_7	2008
8_0304	ecotypes	PAR.9.A1	Jam	8_7	2008
8_0305	ecotypes	MIL.21.B2	Jam	8_7	2008
8_0306	ecotypes	MAH.46.A	Jam	8_7	2008
8_0307	ecotypes	SILLow.3	Jam	8_7	2008
8_0308	ecotypes	SILLow.7	Jam	8_7	2008
8_0309	ecotypes	JAM.16.A	Jam	8_7	2008
8_0310	ecotypes	SILLow.5	Jam	8_7	2008
8_0311	ecotypes	PAR.19.B	Jam	8_7	2008
8_0312	ecotypes	MIL.68.B	Jam	8_7	2008
8_0313	ecotypes	MAH.13.A	Jam	8_7	2008
8_0314	ecotypes	JAM.1.A	Jam	8_7	2008
8_0315	ecotypes	MIL.24.A	Jam	8_7	2008
8_0316	ecotypes	JAM.19.B	Jam	8_7	2008
8_0317	ecotypes	SILupper.2	Jam	8_7	2008
8_0318	ecotypes	JAM.40.A	Jam	8_7	2008
8_0319	ecotypes	JAM.6.A	Jam	8_7	2008
8_0320	ecotypes	MIL.50.A	Jam	8_7	2008
8_0321	ecotypes	MAH.11.A	Jam	8_7	2008
8_0322	ecotypes	PAR.10.A6	Jam	8_7	2008
8_0323	ecotypes	PAR.21.B2	Jam	8_7	2008
8_0324	ecotypes	SILLow.2	Jam	8_7	2008
8_0325	ecotypes	PAR.8.B1	Jam	8_7	2008
8_0326	ecotypes	MIL.60.A	Jam	8_7	2008
8_0327	ecotypes	PAR.22.A2	Jam	8_7	2008
8_0328	ecotypes	MAH.37.A	Jam	8_7	2008
8_0329	ecotypes	JAM.15.A	Jam	8_7	2008
8_0330	ecotypes	MAH.8.A1	Jam	8_7	2008
8_0331	ecotypes	JAM.26.A	Jam	8_7	2008
8_0332	ecotypes	PAR.13.A	Jam	8_7	2008
8_0333	ecotypes	MIL.70.A	Jam	8_7	2008
8_0334	ecotypes	MAH.48.A	Jam	8_7	2008
8_0335	ecotypes	MAH.5.A	Jam	8_7	2008
8_0336	ecotypes	JAM.7.B	Jam	8_7	2008
8_0337	ecotypes	SILLow.5	Mil	8_8	2008
8_0338	ecotypes	MIL.24.A	Mil	8_8	2008
8_0339	ecotypes	JAM.15.A	Mil	8_8	2008
8_0340	ecotypes	MAH.11.A	Mil	8_8	2008
8_0341	ecotypes	JAM.17.A	Mil	8_8	2008
8_0342	ecotypes	PAR.19.B	Mil	8_8	2008
8_0343	ecotypes	MIL.60.A	Mil	8_8	2008
8_0344	ecotypes	JAM.40.A	Mil	8_8	2008
8_0345	ecotypes	MAH.16.A	Mil	8_8	2008
8_0346	ecotypes	PAR.9.A1	Mil	8_8	2008
8_0347	ecotypes	MAH.46.A	Mil	8_8	2008
8_0348	ecotypes	PAR.22.A2	Mil	8_8	2008
8_0349	ecotypes	PAR.29.B2	Mil	8_8	2008
8_0350	ecotypes	MAH.37.A	Mil	8_8	2008
8_0351	ecotypes	MAH.13.A	Mil	8_8	2008
8_0352	ecotypes	PAR.7.B1	Mil	8_8	2008
8_0353	ecotypes	JAM.1.A	Mil	8_8	2008
8_0354	ecotypes	MIL.50.A	Mil	8_8	2008
8_0355	ecotypes	PAR.17.A1	Mil	8_8	2008
8_0356	ecotypes	MAH.9.B	Mil	8_8	2008
8_0357	ecotypes	PAR.21.B2	Mil	8_8	2008
8_0358	ecotypes	SILLow.2	Mil	8_8	2008
8_0359	ecotypes	SILupper.2	Mil	8_8	2008
8_0360	ecotypes	MAH.8.A1	Mil	8_8	2008
8_0361	ecotypes	MAH.38.B	Mil	8_8	2008
8_0362	ecotypes	JAM.7.B	Mil	8_8	2008
8_0363	ecotypes	JAM.16.A	Mil	8_8	2008
8_0364	ecotypes	MAH.5.A	Mil	8_8	2008
8_0365	ecotypes	MIL.68.B	Mil	8_8	2008
8_0366	ecotypes	MIL.21.B2	Mil	8_8	2008
8_0367	ecotypes	MIL.20.B	Mil	8_8	2008
8_0368	ecotypes	SILLow.8	Mil	8_8	2008
8_0369	ecotypes	JAM.6.A	Mil	8_8	2008
8_0370	ecotypes	MIL.32.A1	Mil	8_8	2008
8_0371	ecotypes	SILLow.6	Mil	8_8	2008
8_0372	ecotypes	MIL.70.A	Mil	8_8	2008
8_0373	ecotypes	MIL.54.A	Mil	8_8	2008
8_0374	ecotypes	PAR.10.A6	Mil	8_8	2008
8_0375	ecotypes	MAH.48.A	Mil	8_8	2008
8_0376	ecotypes	JAM.19.B	Mil	8_8	2008
8_0377	ecotypes	SILLow.7	Mil	8_8	2008
8_0378	ecotypes	JAM.26.A	Mil	8_8	2008
8_0379	ecotypes	SILLow.1	Mil	8_8	2008
8_0380	ecotypes	PAR.8.B1	Mil	8_8	2008
8_0381	ecotypes	MIL.53.A	Mil	8_8	2008
8_0382	ecotypes	SILLow.3	Mil	8_8	2008
8_0383	ecotypes	JAM.22.A	Mil	8_8	2008
8_0384	ecotypes	PAR.13.A	Mil	8_8	2008
8_0385	ecotypes	SILLow.6	Mah	8_9	2008
8_0386	ecotypes	MAH.9.B	Mah	8_9	2008
8_0387	ecotypes	PAR.21.B2	Mah	8_9	2008
8_0388	ecotypes	MAH.48.A	Mah	8_9	2008
8_0389	ecotypes	SILLow.8	Mah	8_9	2008
8_0390	ecotypes	JAM.22.A	Mah	8_9	2008
8_0391	ecotypes	MIL.50.A	Mah	8_9	2008
8_0392	ecotypes	JAM.7.B	Mah	8_9	2008
8_0393	ecotypes	PAR.13.A	Mah	8_9	2008
8_0394	ecotypes	SILLow.5	Mah	8_9	2008
8_0395	ecotypes	JAM.6.A	Mah	8_9	2008
8_0396	ecotypes	MIL.53.A	Mah	8_9	2008
8_0397	ecotypes	JAM.19.B	Mah	8_9	2008
8_0398	ecotypes	SILupper.2	Mah	8_9	2008
8_0399	ecotypes	JAM.17.A	Mah	8_9	2008
8_0400	ecotypes	MIL.32.A1	Mah	8_9	2008
8_0401	ecotypes	MAH.5.A	Mah	8_9	2008
8_0402	ecotypes	MAH.46.A	Mah	8_9	2008
8_0403	ecotypes	MAH.37.A	Mah	8_9	2008
8_0404	ecotypes	JAM.15.A	Mah	8_9	2008
8_0405	ecotypes	JAM.26.A	Mah	8_9	2008
8_0406	ecotypes	SILLow.1	Mah	8_9	2008
8_0407	ecotypes	MAH.38.B	Mah	8_9	2008
8_0408	ecotypes	MAH.13.A	Mah	8_9	2008
8_0409	ecotypes	MIL.60.A	Mah	8_9	2008
8_0410	ecotypes	SILLow.2	Mah	8_9	2008
8_0411	ecotypes	PAR.9.A1	Mah	8_9	2008
8_0412	ecotypes	MIL.68.B	Mah	8_9	2008
8_0413	ecotypes	PAR.10.A6	Mah	8_9	2008
8_0414	ecotypes	PAR.19.B	Mah	8_9	2008
8_0415	ecotypes	MIL.20.B	Mah	8_9	2008
8_0416	ecotypes	PAR.8.B1	Mah	8_9	2008
8_0417	ecotypes	PAR.29.B2	Mah	8_9	2008
8_0418	ecotypes	PAR.17.A1	Mah	8_9	2008
8_0419	ecotypes	MAH.16.A	Mah	8_9	2008
8_0420	ecotypes	JAM.16.A	Mah	8_9	2008
8_0421	ecotypes	MAH.11.A	Mah	8_9	2008
8_0422	ecotypes	PAR.7.B1	Mah	8_9	2008
8_0423	ecotypes	MIL.21.B2	Mah	8_9	2008
8_0424	ecotypes	MIL.24.A	Mah	8_9	2008
8_0425	ecotypes	JAM.1.A	Mah	8_9	2008
8_0426	ecotypes	PAR.22.A2	Mah	8_9	2008
8_0427	ecotypes	MIL.54.A	Mah	8_9	2008
8_0428	ecotypes	SILLow.3	Mah	8_9	2008
8_0429	ecotypes	MIL.70.A	Mah	8_9	2008
8_0430	ecotypes	SILLow.7	Mah	8_9	2008
8_0431	ecotypes	MAH.8.A1	Mah	8_9	2008
8_0432	ecotypes	JAM.40.A	Mah	8_9	2008
